LicenseNumber,FacilityName,DBA,FacilityType,City,ZipCode,DateUpdated
402R-00814,GREEN CROSS LLC ,GREEN CROSS OF CHERRY CREEK,Retail Marijuana Store,Denver,80224,2020-12-01
402R-00816,SILVERPEAK CORP,,Retail Marijuana Store,Louisville,80027,2020-12-01
402R-00817,SISTEM COMMERCE CITY LLC,SILVER STEM FINE CANNABIS,Retail Marijuana Store,Commerce City,80022,2020-12-01
402R-00815,TELLURIDE GREEN ROOM LLC,NATURITA GREEN ROOM,Retail Marijuana Store,Naturita,81422,2020-12-01
402R-00818,MOUNTAIN VIEW 44TH LLC,STARBUDS,Retail Marijuana Store,Mountain View,80212,2020-12-01
402R-00821,MAGNOLIA ROAD INC,SUGARLOAF DISPENSARY,Retail Marijuana Store,Trinidad,81082,2020-12-01
402R-00822,COLORADO DISTRIBUTING LLC,THE DISPO,Retail Marijuana Store,Pueblo West,81007,2020-12-01
402R-00825,SOUTHWEST TRADING CORP,ROCKY MOUNTAIN CANNABIS,Retail Marijuana Store,Naturita,81422,2020-12-01
402R-00824,BG3 INVESTMENTS LLC,DRIFT,Retail Marijuana Store,Boulder,80303,2020-12-01
402R-00826,HHCB LLC,HARVEST HOUSE CRESTED BUTTE,Retail Marijuana Store,Crested Butte,81224,2020-12-01
402R-00827,IGADI LTD,IGADI,Retail Marijuana Store,Louisville,80027,2020-12-01
402R-00829,JWJ INC,THE GREEN HOUSE DURANGO,Retail Marijuana Store,Durango,81301,2020-12-01
402R-00831,EXIT 243 LLC ,DISPENSARY EXIT 243,Retail Marijuana Store,Idaho Springs,80452,2020-12-01
402R-00832,HQ MAMMOTH LLC,High Q Snowmass Village,Retail Marijuana Store,Snowmass Village,81615,2020-12-01
402R-00830,CHETTY CONSULTING LLC,WILD WILD WEED,Retail Marijuana Store,Las Animas,81054,2020-12-01
402R-00828,NUVUE PHARMA LLC,,Retail Marijuana Store,Gunnison,81230,2020-12-01
402R-00835,THE CANNABIS DEPOT III LLC,,Retail Marijuana Store,Pueblo,81008,2020-12-01
402R-00837,WLCO LLC,THE REPUBLIC,Retail Marijuana Store,Boulder,80303,2020-12-01
402R-00838,IGADI LTD,IGADI,Retail Marijuana Store,Granby,80446,2020-12-01
402R-00839,ROCKYS BEST LLC,,Retail Marijuana Store,Rocky Ford,81067,2020-12-01
402R-00836,YUMA WAY LLC,CANNA CITY ,Retail Marijuana Store,Commerce City,80022,2020-12-01
402R-00846,OG MEDICINALS LLC,,Retail Marijuana Store,Denver,80239,2020-12-01
